g++-4.9 prog.cpp -std=c++11 -O2 -lm && cat in.txt | ./a.out
N = 2, K = 1 = 2
N = 3, K = 1 = 6
N = 4, K = 1 = 24
N = 5, K = 1 = 120
N = 6, K = 1 = 720
N = 7, K = 1 = 5040
N = 8, K = 1 = 40320
N = 9, K = 1 = 362880
N = 10, K = 1 = 3628800
N = 11, K = 1 = 39916800
N = 12, K = 1 = 479001600
N = 13, K = 1 = 6227020800
N = 14, K = 1 = 87178291200
N = 15, K = 1 = 1307674368000
N = 16, K = 1 = 20922789888000
N = 17, K = 1 = 355687428096000
N = 18, K = 1 = 6402373705728000
N = 19, K = 1 = 121645100408832000
N = 20, K = 1 = 2432902008176640000
N = 3, K = 2 = 3
N = 4, K = 2 = 8
N = 5, K = 2 = 15
N = 6, K = 2 = 48
N = 7, K = 2 = 105
N = 8, K = 2 = 384
N = 9, K = 2 = 945
N = 10, K = 2 = 3840
N = 11, K = 2 = 10395
N = 12, K = 2 = 46080
N = 13, K = 2 = 135135
N = 14, K = 2 = 645120
N = 15, K = 2 = 2027025
N = 16, K = 2 = 10321920
N = 17, K = 2 = 34459425
N = 18, K = 2 = 185794560
N = 19, K = 2 = 654729075
N = 20, K = 2 = 3715891200
N = 21, K = 2 = 13749310575
N = 22, K = 2 = 81749606400
N = 23, K = 2 = 316234143225
N = 24, K = 2 = 1961990553600
N = 25, K = 2 = 7905853580625
N = 26, K = 2 = 51011754393600
N = 27, K = 2 = 213458046676875
N = 28, K = 2 = 1428329123020800
N = 29, K = 2 = 6190283353629375
N = 30, K = 2 = 42849873690624000
N = 31, K = 2 = 191898783962510625
N = 32, K = 2 = 1371195958099968000
N = 4, K = 3 = 4
N = 5, K = 3 = 10
N = 6, K = 3 = 18
N = 7, K = 3 = 28
N = 8, K = 3 = 80
N = 9, K = 3 = 162
N = 10, K = 3 = 280
N = 11, K = 3 = 880
N = 12, K = 3 = 1944
N = 13, K = 3 = 3640
N = 14, K = 3 = 12320
N = 15, K = 3 = 29160
N = 16, K = 3 = 58240
N = 17, K = 3 = 209440
N = 18, K = 3 = 524880
N = 19, K = 3 = 1106560
N = 20, K = 3 = 4188800
N = 21, K = 3 = 11022480
N = 22, K = 3 = 24344320
N = 23, K = 3 = 96342400
N = 24, K = 3 = 264539520
N = 25, K = 3 = 608608000
N = 26, K = 3 = 2504902400
N = 27, K = 3 = 7142567040
N = 28, K = 3 = 17041024000
N = 29, K = 3 = 72642169600
N = 30, K = 3 = 214277011200
N = 31, K = 3 = 528271744000
N = 32, K = 3 = 2324549427200
N = 33, K = 3 = 7071141369600
N = 34, K = 3 = 17961239296000
N = 35, K = 3 = 81359229952000
N = 36, K = 3 = 254561089305600
N = 37, K = 3 = 664565853952000
N = 38, K = 3 = 3091650738176000
N = 39, K = 3 = 9927882482918400
N = 40, K = 3 = 26582634158080000
N = 41, K = 3 = 126757680265216000
N = 42, K = 3 = 416971064282572800
N = 43, K = 3 = 1143053268797440000
N = 5, K = 4 = 5
N = 6, K = 4 = 12
N = 7, K = 4 = 21
N = 8, K = 4 = 32
N = 9, K = 4 = 45
N = 10, K = 4 = 120
N = 11, K = 4 = 231
N = 12, K = 4 = 384
N = 13, K = 4 = 585
N = 14, K = 4 = 1680
N = 15, K = 4 = 3465
N = 16, K = 4 = 6144
N = 17, K = 4 = 9945
N = 18, K = 4 = 30240
N = 19, K = 4 = 65835
N = 20, K = 4 = 122880
N = 21, K = 4 = 208845
N = 22, K = 4 = 665280
N = 23, K = 4 = 1514205
N = 24, K = 4 = 2949120
N = 25, K = 4 = 5221125
N = 26, K = 4 = 17297280
N = 27, K = 4 = 40883535
N = 28, K = 4 = 82575360
N = 29, K = 4 = 151412625
N = 30, K = 4 = 518918400
N = 31, K = 4 = 1267389585
N = 32, K = 4 = 2642411520
N = 33, K = 4 = 4996616625
N = 34, K = 4 = 17643225600
N = 35, K = 4 = 44358635475
N = 36, K = 4 = 95126814720
N = 37, K = 4 = 184874815125
N = 38, K = 4 = 670442572800
N = 39, K = 4 = 1729986783525
N = 40, K = 4 = 3805072588800
N = 41, K = 4 = 7579867420125
N = 42, K = 4 = 28158588057600
N = 43, K = 4 = 74389431691575
N = 44, K = 4 = 167423193907200
N = 45, K = 4 = 341094033905625
N = 46, K = 4 = 1295295050649600
N = 47, K = 4 = 3496303289504025
N = 48, K = 4 = 8036313307545600
N = 49, K = 4 = 16713607661375625
N = 50, K = 4 = 64764752532480000
N = 51, K = 4 = 178311467764705275
N = 52, K = 4 = 417888291992371200
N = 53, K = 4 = 885821206052908125
N = 54, K = 4 = 3497296636753920000
N = 6, K = 5 = 6
N = 7, K = 5 = 14
N = 8, K = 5 = 24
N = 9, K = 5 = 36
N = 10, K = 5 = 50
N = 11, K = 5 = 66
N = 12, K = 5 = 168
N = 13, K = 5 = 312
N = 14, K = 5 = 504
N = 15, K = 5 = 750
N = 16, K = 5 = 1056
N = 17, K = 5 = 2856
N = 18, K = 5 = 5616
N = 19, K = 5 = 9576
N = 20, K = 5 = 15000
N = 21, K = 5 = 22176
N = 22, K = 5 = 62832
N = 23, K = 5 = 129168
N = 24, K = 5 = 229824
N = 25, K = 5 = 375000
N = 26, K = 5 = 576576
N = 27, K = 5 = 1696464
N = 28, K = 5 = 3616704
N = 29, K = 5 = 6664896
N = 30, K = 5 = 11250000
N = 31, K = 5 = 17873856
N = 32, K = 5 = 54286848
N = 33, K = 5 = 119351232
N = 34, K = 5 = 226606464
N = 35, K = 5 = 393750000
N = 36, K = 5 = 643458816
N = 37, K = 5 = 2008613376
N = 38, K = 5 = 4535346816
N = 39, K = 5 = 8837652096
N = 40, K = 5 = 15750000000
N = 41, K = 5 = 26381811456
N = 42, K = 5 = 84361761792
N = 43, K = 5 = 195019913088
N = 44, K = 5 = 388856692224
N = 45, K = 5 = 708750000000
N = 46, K = 5 = 1213563326976
N = 47, K = 5 = 3965002804224
N = 48, K = 5 = 9360955828224
N = 49, K = 5 = 19053977918976
N = 50, K = 5 = 35437500000000
N = 51, K = 5 = 61891729675776
N = 52, K = 5 = 206180145819648
N = 53, K = 5 = 496130658895872
N = 54, K = 5 = 1028914807624704
N = 55, K = 5 = 1949062500000000
N = 56, K = 5 = 3465936861843456
N = 57, K = 5 = 11752268311719936
N = 58, K = 5 = 28775578215960576
N = 59, K = 5 = 60705973649857536
N = 60, K = 5 = 116943750000000000
N = 61, K = 5 = 211422148572450816
N = 62, K = 5 = 728640635326636032
N = 63, K = 5 = 1812861427605516288
N = 7, K = 6 = 7
N = 8, K = 6 = 16
N = 9, K = 6 = 27
N = 10, K = 6 = 40
N = 11, K = 6 = 55
N = 12, K = 6 = 72
N = 13, K = 6 = 91
N = 14, K = 6 = 224
N = 15, K = 6 = 405
N = 16, K = 6 = 640
N = 17, K = 6 = 935
N = 18, K = 6 = 1296
N = 19, K = 6 = 1729
N = 20, K = 6 = 4480
N = 21, K = 6 = 8505
N = 22, K = 6 = 14080
N = 23, K = 6 = 21505
N = 24, K = 6 = 31104
N = 25, K = 6 = 43225
N = 26, K = 6 = 116480
N = 27, K = 6 = 229635
N = 28, K = 6 = 394240
N = 29, K = 6 = 623645
N = 30, K = 6 = 933120
N = 31, K = 6 = 1339975
N = 32, K = 6 = 3727360
N = 33, K = 6 = 7577955
N = 34, K = 6 = 13404160
N = 35, K = 6 = 21827575
N = 36, K = 6 = 33592320
N = 37, K = 6 = 49579075
N = 38, K = 6 = 141639680
N = 39, K = 6 = 295540245
N = 40, K = 6 = 536166400
N = 41, K = 6 = 894930575
N = 42, K = 6 = 1410877440
N = 43, K = 6 = 2131900225
N = 44, K = 6 = 6232145920
N = 45, K = 6 = 13299311025
N = 46, K = 6 = 24663654400
N = 47, K = 6 = 42061737025
N = 48, K = 6 = 67722117120
N = 49, K = 6 = 104463111025
N = 50, K = 6 = 311607296000
N = 51, K = 6 = 678264862275
N = 52, K = 6 = 1282510028800
N = 53, K = 6 = 2229272062325
N = 54, K = 6 = 3656994324480
N = 55, K = 6 = 5745471106375
N = 56, K = 6 = 17450008576000
N = 57, K = 6 = 38661097149675
N = 58, K = 6 = 74385581670400
N = 59, K = 6 = 131527051677175
N = 60, K = 6 = 219419659468800
N = 61, K = 6 = 350473737488875
N = 62, K = 6 = 1081900531712000
N = 63, K = 6 = 2435649120429525
N = 64, K = 6 = 4760677226905600
N = 65, K = 6 = 8549258359016375
N = 66, K = 6 = 14481697524940800
N = 67, K = 6 = 23481740411754625
N = 68, K = 6 = 73569236156416000
N = 69, K = 6 = 168059789309637225
N = 70, K = 6 = 333247405883392000
N = 71, K = 6 = 606997343490162625
N = 72, K = 6 = 1042682221795737600
N = 8, K = 7 = 8
N = 9, K = 7 = 18
N = 10, K = 7 = 30
N = 11, K = 7 = 44
N = 12, K = 7 = 60
N = 13, K = 7 = 78
N = 14, K = 7 = 98
N = 15, K = 7 = 120
N = 16, K = 7 = 288
N = 17, K = 7 = 510
N = 18, K = 7 = 792
N = 19, K = 7 = 1140
N = 20, K = 7 = 1560
N = 21, K = 7 = 2058
N = 22, K = 7 = 2640
N = 23, K = 7 = 6624
N = 24, K = 7 = 12240
N = 25, K = 7 = 19800
N = 26, K = 7 = 29640
N = 27, K = 7 = 42120
N = 28, K = 7 = 57624
N = 29, K = 7 = 76560
N = 30, K = 7 = 198720
N = 31, K = 7 = 379440
N = 32, K = 7 = 633600
N = 33, K = 7 = 978120
N = 34, K = 7 = 1432080
N = 35, K = 7 = 2016840
N = 36, K = 7 = 2756160
N = 37, K = 7 = 7352640
N = 38, K = 7 = 14418720
N = 39, K = 7 = 24710400
N = 40, K = 7 = 39124800
N = 41, K = 7 = 58715280
N = 42, K = 7 = 84707280
N = 43, K = 7 = 118514880
N = 44, K = 7 = 323516160
N = 45, K = 7 = 648842400
N = 46, K = 7 = 1136678400
N = 47, K = 7 = 1838865600
N = 48, K = 7 = 2818333440
N = 49, K = 7 = 4150656720
N = 50, K = 7 = 5925744000
N = 51, K = 7 = 16499324160
N = 52, K = 7 = 33739804800
N = 53, K = 7 = 60243955200
N = 54, K = 7 = 99298742400
N = 55, K = 7 = 155008339200
N = 56, K = 7 = 232436776320
N = 57, K = 7 = 337767408000
N = 58, K = 7 = 956960801280
N = 59, K = 7 = 1990648483200
N = 60, K = 7 = 3614637312000
N = 61, K = 7 = 6057223286400
N = 62, K = 7 = 9610517030400
N = 63, K = 7 = 14643516908160
N = 64, K = 7 = 21617114112000
N = 65, K = 7 = 62202452083200
N = 66, K = 7 = 131382799891200
N = 67, K = 7 = 242180699904000
N = 68, K = 7 = 411891183475200
N = 69, K = 7 = 663125675097600
N = 70, K = 7 = 1025046183571200
N = 71, K = 7 = 1534815101952000
N = 72, K = 7 = 4478576549990400
N = 73, K = 7 = 9590944392057600
N = 74, K = 7 = 17921371792896000
N = 75, K = 7 = 30891838760640000
N = 76, K = 7 = 50397551307417600
N = 77, K = 7 = 78928556134982400
N = 78, K = 7 = 119715577952256000
N = 79, K = 7 = 353807547449241600
N = 80, K = 7 = 767275551364608000
N = 81, K = 7 = 1451631115224576000
N = 9, K = 8 = 9
N = 10, K = 8 = 20
N = 11, K = 8 = 33
N = 12, K = 8 = 48
N = 13, K = 8 = 65
N = 14, K = 8 = 84
N = 15, K = 8 = 105
N = 16, K = 8 = 128
N = 17, K = 8 = 153
N = 18, K = 8 = 360
N = 19, K = 8 = 627
N = 20, K = 8 = 960
N = 21, K = 8 = 1365
N = 22, K = 8 = 1848
N = 23, K = 8 = 2415
N = 24, K = 8 = 3072
N = 25, K = 8 = 3825
N = 26, K = 8 = 9360
N = 27, K = 8 = 16929
N = 28, K = 8 = 26880
N = 29, K = 8 = 39585
N = 30, K = 8 = 55440
N = 31, K = 8 = 74865
N = 32, K = 8 = 98304
N = 33, K = 8 = 126225
N = 34, K = 8 = 318240
N = 35, K = 8 = 592515
N = 36, K = 8 = 967680
N = 37, K = 8 = 1464645
N = 38, K = 8 = 2106720
N = 39, K = 8 = 2919735
N = 40, K = 8 = 3932160
N = 41, K = 8 = 5175225
N = 42, K = 8 = 13366080
N = 43, K = 8 = 25478145
N = 44, K = 8 = 42577920
N = 45, K = 8 = 65909025
N = 46, K = 8 = 96909120
N = 47, K = 8 = 137227545
N = 48, K = 8 = 188743680
N = 49, K = 8 = 253586025
N = 50, K = 8 = 668304000
N = 51, K = 8 = 1299385395
